datetime,Battery_0 (kW)
2024-01-01T00:00:00Z,0.05606405693950178
2024-01-01T00:15:00Z,0.05825085910652921
2024-01-01T00:30:00Z,0.06030689655172414
2024-01-01T00:45:00Z,0.05756382978723404
2024-01-01T01:00:00Z,0.05657342657342657
2024-01-01T01:15:00Z,0.059457142857142854
2024-01-01T01:30:00Z,0.058073426573426574
2024-01-01T01:45:00Z,0.05723790322580645
2024-01-01T02:00:00Z,0.05815492957746479
2024-01-01T02:15:00Z,0.05815467625899281
2024-01-01T02:30:00Z,0.05954804270462633
2024-01-01T02:45:00Z,0.0596993006993007
2024-01-01T03:00:00Z,0.05932129963898917
2024-01-01T03:15:00Z,0.056293706293706294
2024-01-01T03:30:00Z,0.057413043478260865
2024-01-01T03:45:00Z,0.06068661971830985
2024-01-01T04:00:00Z,0.05827046263345195
2024-01-01T04:15:00Z,0.055762411347517735
2024-01-01T04:30:00Z,0.052607638888888884
2024-01-01T04:45:00Z,0.05150352112676056
2024-01-01T05:00:00Z,0.054335664335664335
2024-01-01T05:15:00Z,0.05510071942446043
2024-01-01T05:30:00Z,0.05755017301038062
2024-01-01T05:45:00Z,0.05683834586466165
2024-01-01T06:00:00Z,0.057374125874125874
2024-01-01T06:15:00Z,0.05835153583617748
2024-01-01T06:30:00Z,0.058926056338028165
2024-01-01T06:45:00Z,0.057903225806451616
2024-01-01T07:00:00Z,0.05703533568904594
2024-01-01T07:15:00Z,0.057657039711191335
2024-01-01T07:30:00Z,0.059192857142857144
2024-01-01T07:45:00Z,0.05355871886120996
2024-01-01T08:00:00Z,0.03551408450704226
2024-01-01T08:15:00Z,0.024911971830985917
2024-01-01T08:30:00Z,-0.005901408450704225
2024-01-01T08:45:00Z,-0.04080419580419581
2024-01-01T09:00:00Z,-0.09924817518248175
2024-01-01T09:15:00Z,-0.17195698924731184
2024-01-01T09:30:00Z,-0.27282638888888894
2024-01-01T09:45:00Z,-0.3093287197231834
2024-01-01T10:00:00Z,-0.35645
2024-01-01T10:15:00Z,-0.5249330985915494
2024-01-01T10:30:00Z,-0.8108057553956834
2024-01-01T10:45:00Z,-0.772028880866426
2024-01-01T11:00:00Z,-0.6875445205479452
2024-01-01T11:15:00Z,-0.6009857651245551
2024-01-01T11:30:00Z,-0.6108701754385965
2024-01-01T11:45:00Z,-0.5654416961130742
2024-01-01T12:00:00Z,-0.6281758620689656
2024-01-01T12:15:00Z,-0.6300678571428572
2024-01-01T12:30:00Z,-0.5479575971731449
2024-01-01T12:45:00Z,-0.5658432055749129
2024-01-01T13:00:00Z,-0.12511418685121106
2024-01-01T13:15:00Z,-0.017510416666666667
2024-01-01T13:30:00Z,-0.017669014084507044
2024-01-01T13:45:00Z,-0.01718374558303887
2024-01-01T14:00:00Z,-0.017062068965517242
2024-01-01T14:15:00Z,-0.016733812949640287
2024-01-01T14:30:00Z,-0.0156875
2024-01-01T14:45:00Z,-0.0179822695035461
2024-01-01T15:00:00Z,0.01608710801393728
2024-01-01T15:15:00Z,0.024836236933797908
2024-01-01T15:30:00Z,0.03812367491166078
