datetime,SolarPv_0 (kW)
2024-04-08T15:00:00Z,1.1566055555555552
2024-04-08T15:15:00Z,1.051341999999999
2024-04-08T15:30:00Z,0.9255228444444444
2024-04-08T15:45:00Z,0.7816826222222221
2024-04-08T16:00:00Z,0.8044583555555554
2024-04-08T16:15:00Z,0.5918237333333333
2024-04-08T16:30:00Z,0.3992384000000006
2024-04-08T16:45:00Z,0.4074323333333333
2024-04-08T17:00:00Z,0.3123709555555556
2024-04-08T17:15:00Z,0.1863809777777778
2024-04-08T17:30:00Z,0.1231473333333333
2024-04-08T17:45:00Z,0.1321657777777779
2024-04-08T18:00:00Z,0.0635097777777777
2024-04-08T18:15:00Z,0.0175546666666666
2024-04-08T18:30:00Z,0.0068482222222222
2024-04-08T18:45:00Z,0.0018193333333333
2024-04-08T19:00:00Z,0.0001252222222222
2024-04-08T19:15:00Z,4.433333333333307e-05
2024-04-08T19:30:00Z,4.248888888888874e-05
2024-04-08T19:45:00Z,3.122222222222197e-05
2024-04-08T20:00:00Z,4.955555555555547e-06
2024-04-08T20:15:00Z,3.893333333333304e-05
2024-04-08T20:30:00Z,3.9555555555555584e-06
2024-04-08T20:45:00Z,4.4444444444444454e-08
2024-04-08T21:00:00Z,6.666666666666668e-08
2024-04-08T21:15:00Z,2.2222222222222227e-07
2024-04-08T21:30:00Z,4.000000000000002e-06
2024-04-08T21:45:00Z,8.444444444444448e-07
2024-04-08T22:00:00Z,1.1844444444444423e-05
2024-04-08T22:15:00Z,6.999999999999993e-06
2024-04-08T22:30:00Z,2.422222222222223e-06
2024-04-08T22:45:00Z,3.297777777777773e-05
2024-04-08T23:00:00Z,1.911111111111112e-06
2024-04-08T23:15:00Z,0.0
2024-04-08T23:30:00Z,2.888888888888889e-07
2024-04-08T23:45:00Z,4.88888888888889e-07
2024-04-09T00:00:00Z,7.955555555555546e-06
2024-04-09T00:15:00Z,4.111111111111114e-06
2024-04-09T00:30:00Z,0.0
2024-04-09T00:45:00Z,7.333333333333337e-07
2024-04-09T01:00:00Z,0.0
2024-04-09T01:15:00Z,0.0
2024-04-09T01:30:00Z,0.0
2024-04-09T01:45:00Z,0.0
2024-04-09T02:00:00Z,0.0
2024-04-09T02:15:00Z,0.0
2024-04-09T02:30:00Z,0.0
2024-04-09T02:45:00Z,0.0
2024-04-09T03:00:00Z,1.2888888888888897e-06
2024-04-09T03:15:00Z,4.615034168564927e-05
2024-04-09T03:30:00Z,3.048888888888878e-05
2024-04-09T03:45:00Z,4.657777777777783e-05
2024-04-09T04:00:00Z,2e-07
2024-04-09T04:15:00Z,0.0
2024-04-09T04:30:00Z,0.0
2024-04-09T04:45:00Z,0.0002100888888888
2024-04-09T05:00:00Z,0.0075164285714285
2024-04-09T05:15:00Z,0.0220857555555555
2024-04-09T05:30:00Z,0.0626969333333333
2024-04-09T05:45:00Z,0.0965055497777778
2024-04-09T06:00:00Z,0.111508711111111
2024-04-09T06:15:00Z,0.0988551777777778
2024-04-09T06:30:00Z,0.1788953111111112
2024-04-09T06:45:00Z,0.2125818
2024-04-09T07:00:00Z,0.2262126222222222
2024-04-09T07:15:00Z,0.3155719111111109
2024-04-09T07:30:00Z,0.4575278222222225
2024-04-09T07:45:00Z,0.4874042222222222
2024-04-09T08:00:00Z,0.5257959555555554
2024-04-09T08:15:00Z,0.4945106222222225
2024-04-09T08:30:00Z,0.4856142444444445
2024-04-09T08:45:00Z,0.6829237333333331
2024-04-09T09:00:00Z,1.1042173333333338
2024-04-09T09:15:00Z,1.0577533777777774
2024-04-09T09:30:00Z,1.1803964444444446
2024-04-09T09:45:00Z,1.149507333333333
2024-04-09T10:00:00Z,0.8410495555555558
2024-04-09T10:15:00Z,0.6077491111111114
2024-04-09T10:30:00Z,0.5803766666666668
2024-04-09T10:45:00Z,0.4875671555555557
2024-04-09T11:00:00Z,0.6022130888888887
2024-04-09T11:15:00Z,0.9872691111111112
2024-04-09T11:30:00Z,0.9930933333333342
2024-04-09T11:45:00Z,0.467664222222222
2024-04-09T12:00:00Z,1.561417333333334
2024-04-09T12:15:00Z,1.5834555555555565
2024-04-09T12:30:00Z,1.408654484304933
2024-04-09T12:45:00Z,1.4156066666666676
2024-04-09T13:00:00Z,1.1324888888888895
2024-04-09T13:15:00Z,1.344135022222222
2024-04-09T13:30:00Z,0.9425703555555554
2024-04-09T13:45:00Z,1.5454000222222226
2024-04-09T14:00:00Z,0.9413648666666669
2024-04-09T14:15:00Z,1.6538828222222206
2024-04-09T14:30:00Z,0.6299381555555548
2024-04-09T14:45:00Z,0.2205455333333332
2024-04-09T15:00:00Z,0.9692142666666658
2024-04-09T15:15:00Z,1.0890057333333332
2024-04-09T15:30:00Z,1.0769704666666664
2024-04-09T15:45:00Z,0.6813271555555563
2024-04-09T16:00:00Z,0.456121266666667
2024-04-09T16:15:00Z,0.4078111111111112
2024-04-09T16:30:00Z,0.4264351111111113
2024-04-09T16:45:00Z,0.3441229999999999
2024-04-09T17:00:00Z,0.3232752666666667
2024-04-09T17:15:00Z,0.1468182222222222
2024-04-09T17:30:00Z,0.0880619333333333
2024-04-09T17:45:00Z,0.0623589555555555
2024-04-09T18:00:00Z,0.0306624222222222
2024-04-09T18:15:00Z,0.0135309333333333
2024-04-09T18:30:00Z,0.0082771111111111
2024-04-09T18:45:00Z,0.0048595777777777
2024-04-09T19:00:00Z,0.0018235333333333
2024-04-09T19:15:00Z,0.0004559333333333
2024-04-09T19:30:00Z,0.0002742888888888
2024-04-09T19:45:00Z,0.0002246222222222
2024-04-09T20:00:00Z,0.0001812666666666
2024-04-09T20:15:00Z,0.0001782444444444
2024-04-09T20:30:00Z,0.0001736222222222
2024-04-09T20:45:00Z,0.0001741111111111
2024-04-09T21:00:00Z,9.102560000000006e-05
2024-04-09T21:15:00Z,0.0001486011777777
2024-04-09T21:30:00Z,0.0008876444444444
2024-04-09T21:45:00Z,0.0005277777777777
2024-04-09T22:00:00Z,0.0001497777777777
2024-04-09T22:15:00Z,9.77777777777778e-07
2024-04-09T22:30:00Z,0.0
2024-04-09T22:45:00Z,0.0
2024-04-09T23:00:00Z,0.0
2024-04-09T23:15:00Z,0.0
2024-04-09T23:30:00Z,0.0
2024-04-09T23:45:00Z,0.0
2024-04-10T00:00:00Z,0.0
2024-04-10T00:15:00Z,0.0
2024-04-10T00:30:00Z,0.0
2024-04-10T00:45:00Z,0.0
2024-04-10T01:00:00Z,0.0
2024-04-10T01:15:00Z,0.0
2024-04-10T01:30:00Z,0.0
2024-04-10T01:45:00Z,0.0
2024-04-10T02:00:00Z,0.0
2024-04-10T02:15:00Z,0.0
2024-04-10T02:30:00Z,0.0
2024-04-10T02:45:00Z,0.0
2024-04-10T03:00:00Z,0.0
2024-04-10T03:15:00Z,0.0
2024-04-10T03:30:00Z,0.0
2024-04-10T03:45:00Z,0.0
2024-04-10T04:00:00Z,0.0
2024-04-10T04:15:00Z,0.0078815555555555
2024-04-10T04:30:00Z,0.0003314433333333
2024-04-10T04:45:00Z,0.0
2024-04-10T05:00:00Z,0.0
2024-04-10T05:15:00Z,0.0
2024-04-10T05:30:00Z,0.0538931266933333
2024-04-10T05:45:00Z,0.0912283555555555
2024-04-10T06:00:00Z,0.1460514222222223
2024-04-10T06:15:00Z,0.2172563777777778
2024-04-10T06:30:00Z,0.2982297111111111
2024-04-10T06:45:00Z,0.3894484444444439
2024-04-10T07:00:00Z,0.47286
2024-04-10T07:15:00Z,0.5517032888888884
2024-04-10T07:30:00Z,0.6497902666666664
2024-04-10T07:45:00Z,0.7258991111111117
2024-04-10T08:00:00Z,0.8204191111111114
2024-04-10T08:15:00Z,0.9218442222222218
2024-04-10T08:30:00Z,1.0455604444444446
2024-04-10T08:45:00Z,1.102152733333334
2024-04-10T09:00:00Z,1.1966515555555557
2024-04-10T09:15:00Z,1.3467266666666668
2024-04-10T09:30:00Z,1.4300188888888892
2024-04-10T09:45:00Z,1.4595772666666669
2024-04-10T10:00:00Z,1.5555513333333322
2024-04-10T10:15:00Z,1.6434957777777777
2024-04-10T10:30:00Z,1.3720206444444438
2024-04-10T10:45:00Z,1.668399662921349
2024-04-10T11:00:00Z,1.8303900000000004
2024-04-10T11:15:00Z,1.524025999999998
2024-04-10T11:30:00Z,1.907688666666667
2024-04-10T11:45:00Z,1.4211540178571431
2024-04-10T12:00:00Z,1.448819555555555
2024-04-10T12:15:00Z,1.8396208988764065
2024-04-10T12:30:00Z,1.9132331111111116
2024-04-10T12:45:00Z,1.7898882222222223
2024-04-10T13:00:00Z,1.839534
2024-04-10T13:15:00Z,1.5453130666666666
2024-04-10T13:30:00Z,1.790131111111111
2024-04-10T13:45:00Z,1.4624152222222229
2024-04-10T14:00:00Z,1.6183536444444444
2024-04-10T14:15:00Z,1.6177799999999998
2024-04-10T14:30:00Z,1.5394418222222237
2024-04-10T14:45:00Z,1.1670776444444448
2024-04-10T15:00:00Z,1.1285552666666656
2024-04-10T15:15:00Z,1.2414161777777777
2024-04-10T15:30:00Z,0.9141996666666662
2024-04-10T15:45:00Z,1.1009786666666663
2024-04-10T16:00:00Z,0.9461652888888888
2024-04-10T16:15:00Z,0.8109192888888885
2024-04-10T16:30:00Z,0.6350695999999999
2024-04-10T16:45:00Z,0.5685379999999997
2024-04-10T17:00:00Z,0.3674426888888887
2024-04-10T17:15:00Z,0.1010770444444445
2024-04-10T17:30:00Z,0.0574426444444444
2024-04-10T17:45:00Z,0.0710977777777776
2024-04-10T18:00:00Z,0.0610960222222221
2024-04-10T18:15:00Z,0.019316711111111
2024-04-10T18:30:00Z,0.0089997111111111
2024-04-10T18:45:00Z,0.0046498222222222
2024-04-10T19:00:00Z,0.0016332666666666
2024-04-10T19:15:00Z,0.000317
2024-04-10T19:30:00Z,0.0002109777777777
2024-04-10T19:45:00Z,0.0002153333333333
2024-04-10T20:00:00Z,0.0002042888888888
2024-04-10T20:15:00Z,0.0001920444444444
2024-04-10T20:30:00Z,0.0002066222222222
2024-04-10T20:45:00Z,0.0002156444444444
2024-04-10T21:00:00Z,0.0001616222222222
2024-04-10T21:15:00Z,0.0001478444444444
2024-04-10T21:30:00Z,0.0001519222222222
2024-04-10T21:45:00Z,0.000172
2024-04-10T22:00:00Z,6.42666666666662e-05
2024-04-10T22:15:00Z,5.9999999999999575e-05
2024-04-10T22:30:00Z,5.797777777777776e-05
2024-04-10T22:45:00Z,5.937777777777752e-05
2024-04-10T23:00:00Z,4.444444444444445e-07
2024-04-10T23:15:00Z,0.0
2024-04-10T23:30:00Z,0.0
2024-04-10T23:45:00Z,0.0
2024-04-11T00:00:00Z,0.0
2024-04-11T00:15:00Z,0.0
2024-04-11T00:30:00Z,0.0
2024-04-11T00:45:00Z,0.000100092
2024-04-11T01:00:00Z,0.0001375617777777
2024-04-11T01:15:00Z,0.0001036
2024-04-11T01:30:00Z,7.635555555555558e-05
2024-04-11T01:45:00Z,0.0001381333333333
2024-04-11T02:00:00Z,0.0001321111111111
2024-04-11T02:15:00Z,0.0001633111111111
2024-04-11T02:30:00Z,0.0001646888888888
2024-04-11T02:45:00Z,0.0001703999999999
2024-04-11T03:00:00Z,0.0003018888888888
2024-04-11T03:15:00Z,0.0002666513761467
2024-04-11T03:30:00Z,0.0002449333333333
2024-04-11T03:45:00Z,0.0002573333333333
2024-04-11T04:00:00Z,0.0005000367816091
2024-04-11T04:15:00Z,0.0019857333333333
2024-04-11T04:30:00Z,0.0044833999999999
2024-04-11T04:45:00Z,0.0075838
2024-04-11T05:00:00Z,0.0126092466666666
